Newborough,265.0,-38.1798626,146.2947106,1,20,8,7,2,20,20,0,Low,1,5,2,2,1,5,5,1
Newcombe,371.25,-33.8342616,151.1614353,20,20,20,8,20,20,20,20,Medium,5,5,5,2,5,5,5,5
Newport,490.0,-33.6567377,151.3181223,7,20,20,18,20,20,20,1,Medium,2,5,5,4,5,5,5,1
Newtown,407.5,-33.8978149,151.1785003,20,20,20,20,20,20,20,20,Medium,5,5,5,5,5,5,5,5
Noble Park,358.75,-37.9650097,145.1733926,20,20,20,2,12,20,20,12,Medium,5,5,5,1,3,5,5,3
North Bendigo,346.25,-36.7367572,144.2777207,20,20,20,20,20,20,20,2,Medium,5,5,5,5,5,5,5,1
North Geelong,377.5,-38.1112212,144.3502279,20,20,20,19,20,20,20,3,Medium,5,5,5,4,5,5,5,1
North Melbourne,375.0,-37.8008004,144.9485049,20,20,20,20,20,20,20,20,Medium,5,5,5,5,5,5,5,5
Northcote,493.75,-37.7692917,144.9990291,20,20,20,4,20,20,20,20,Medium,5,5,5,1,5,5,5,5
Nunawading,420.0,-37.8184273,145.1760206,20,20,20,6,17,20,20,15,Medium,5,5,5,2,4,5,5,4
Oak Park,387.5,-37.7165119,144.91903,20,20,20,2,7,16,20,20,Medium,5,5,5,1,2,4,5,5
Oakleigh,433.75,-37.9016644,145.091857,20,20,20,16,14,20,20,20,Medium,5,5,5,4,3,5,5,5
Ocean Grove,482.5,-38.25759960000001,144.5354186,5,20,20,7,14,14,20,1,Medium,2,5,5,2,3,3,5,1
Pakenham,367.5,-38.0776708,145.4818724,11,20,20,7,18,17,20,0,Medium,3,5,5,2,4,4,5,1
Parkdale,432.5,-37.9937732,145.0767488,20,20,20,20,20,20,20,7,Medium,5,5,5,5,5,5,5,2
Parkville,335.0,-37.7787036,144.9426083,20,20,20,13,20,20,20,20,Medium,5,5,5,3,5,5,5,5
Pascoe Vale,410.0,-37.7315238,144.9384853,20,20,20,2,4,20,20,20,Medium,5,5,5,1,1,5,5,5
Pascoe Vale South,451.25,-37.7457735,144.9384576,20,20,20,2,20,20,20,20,Medium,5,5,5,1,5,5,5,5
Port Melbourne,588.25,-37.8369312,144.9284179,20,20,20,20,20,20,20,20,High,5,5,5,5,5,5,5,5
Portland,342.5,-38.3380167,141.6041331,1,20,8,7,3,12,20,0,Medium,1,5,2,2,1,3,5,1
Portsea,445.0,-38.3207377,144.718304,0,20,14,2,1,6,20,1,Medium,1,5,3,1,1,2,5,1
Prahran,413.75,-37.8507947,145.0027616,20,20,20,20,20,20,20,20,Medium,5,5,5,5,5,5,5,5
Preston,407.5,-37.7450963,145.0028571,20,20,20,7,15,20,20,20,Medium,5,5,5,2,4,5,5,5
Research,465.75,3.1156096,101.4260579,20,20,20,20,17,17,20,3,Medium,5,5,5,5,4,4,5,1
Reservoir,380.0,-37.7166681,145.0077608,20,20,20,4,7,18,20,20,Medium,5,5,5,1,2,4,5,5
