suburb,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Donvale,226.25,233.75,248.33333333333334,250.0,259.75,267.5,285.0,310.0,340.25,360.0,377.5,395.0,400.0,415.0,425.0,447.5,452.5,470.0,478.75,493.75,496.25,483.75
Hawthorn East,207.5,230.0,236.0,241.6,251.25,260.0,274.5,286.25,321.25,350.0,362.5,375.0,390.0,393.75,398.75,400.0,405.0,422.5,440.0,449.5,435.0,392.5
Glen Waverley,211.25,221.25,231.66666666666666,239.0,248.75,258.75,271.25,300.0,340.75,363.75,381.25,398.75,407.5,418.75,425.0,438.75,452.5,465.0,478.75,497.5,498.75,480.0
Mulgrave,211.25,221.25,231.66666666666666,239.0,248.75,258.75,271.25,300.0,340.75,363.75,381.25,398.75,407.5,418.75,425.0,438.75,452.5,465.0,478.75,497.5,498.75,480.0
Hawthorn,193.75,216.25,220.0,229.0,231.25,243.75,250.0,263.75,298.75,329.0,343.75,350.0,348.75,351.25,355.0,366.25,372.5,381.25,398.75,407.5,412.5,377.5
Kew,247.5,251.5,261.6666666666667,265.0,268.75,280.0,290.0,325.0,366.25,388.75,408.25,430.0,447.5,450.0,447.5,471.25,475.0,487.0,500.0,514.5,518.75,481.25
Mount Waverley,208.75,217.5,225.0,235.0,237.5,252.5,265.0,295.0,335.0,365.0,382.5,395.0,400.0,411.25,422.5,442.5,460.0,467.5,487.5,512.5,508.75,496.5
Nunawading,178.75,186.25,198.33333333333334,207.0,220.0,225.0,237.5,263.75,295.0,320.0,332.5,350.0,352.5,358.75,370.0,372.5,385.0,396.25,417.0,423.75,421.25,420.0
Mitcham,178.75,186.25,198.33333333333334,207.0,220.0,225.0,237.5,263.75,295.0,320.0,332.5,350.0,352.5,358.75,370.0,372.5,385.0,396.25,417.0,423.75,421.25,420.0
Vermont,206.25,213.75,225.0,230.0,238.75,250.0,259.0,280.0,323.75,343.75,362.25,378.75,383.75,387.0,397.5,409.5,420.0,431.25,450.0,455.0,460.0,450.0
Forest Hill,206.25,213.75,225.0,230.0,238.75,250.0,259.0,280.0,323.75,343.75,362.25,378.75,383.75,387.0,397.5,409.5,420.0,431.25,450.0,455.0,460.0,450.0
Burwood East,206.25,213.75,225.0,230.0,238.75,250.0,259.0,280.0,323.75,343.75,362.25,378.75,383.75,387.0,397.5,409.5,420.0,431.25,450.0,455.0,460.0,450.0
Aspendale,173.75,183.75,195.0,200.0,202.5,211.25,227.5,247.75,284.75,306.25,327.5,350.0,355.0,357.0,368.75,378.75,392.5,407.5,427.5,439.5,442.5,452.5
Chelsea,173.75,183.75,195.0,200.0,202.5,211.25,227.5,247.75,284.75,306.25,327.5,350.0,355.0,357.0,368.75,378.75,392.5,407.5,427.5,439.5,442.5,452.5
Carrum,173.75,183.75,195.0,200.0,202.5,211.25,227.5,247.75,284.75,306.25,327.5,350.0,355.0,357.0,368.75,378.75,392.5,407.5,427.5,439.5,442.5,452.5
Bentleigh,206.25,220.0,228.33333333333334,238.0,246.25,252.5,267.5,296.25,335.0,362.5,378.75,397.5,400.0,405.0,423.25,430.0,443.75,465.0,487.5,502.5,501.25,490.0
Brighton,302.5,313.25,326.6666666666667,335.6,350.0,360.0,396.25,435.0,478.25,527.5,550.0,578.25,597.5,628.25,599.75,632.5,592.5,616.25,645.0,651.25,684.5,657.5
Brighton East,283.25,306.25,303.3333333333333,306.0,335.25,330.0,347.25,414.5,481.25,487.5,530.25,577.0,597.5,582.0,577.5,600.0,633.75,652.0,680.0,700.0,736.5,717.5
Carnegie,161.25,173.0,180.0,187.0,194.5,200.0,207.5,240.0,276.25,300.0,317.0,331.25,342.5,350.0,352.75,363.75,381.25,403.25,421.25,435.0,437.0,400.0
Caulfield,198.75,213.75,220.0,225.0,238.75,238.25,247.5,282.5,326.25,351.25,367.5,382.5,393.75,388.75,392.25,400.0,416.25,440.0,451.25,472.5,470.0,408.75
Cheltenham,195.0,207.5,216.66666666666666,227.0,236.25,240.0,256.25,285.0,326.25,350.0,365.0,381.25,390.0,378.75,391.75,402.75,420.0,442.5,451.25,462.5,471.25,462.5
Elsternwick,191.25,205.0,215.0,226.0,231.25,230.75,247.5,270.0,310.75,332.0,355.0,370.0,390.0,390.0,396.25,398.75,396.25,415.0,425.75,448.25,447.5,442.25
Hampton,277.75,292.75,296.6666666666667,301.0,311.25,322.5,346.25,388.75,425.0,452.5,477.5,489.5,500.0,495.0,511.25,495.0,516.5,537.5,560.0,583.75,590.75,588.75
Beaumaris,277.75,292.75,296.6666666666667,301.0,311.25,322.5,346.25,388.75,425.0,452.5,477.5,489.5,500.0,495.0,511.25,495.0,516.5,537.5,560.0,583.75,590.75,588.75
Malvern,224.5,245.0,256.6666666666667,262.6,270.75,281.25,287.5,321.25,357.0,378.25,392.5,396.25,411.25,408.75,432.75,447.5,460.75,460.0,482.5,495.75,474.5,450.0
Malvern East,221.5,236.25,240.0,249.0,245.25,247.5,253.75,275.0,312.5,346.25,350.0,367.5,371.0,368.0,377.5,387.0,397.5,410.0,428.75,458.75,433.75,405.0
Mentone,167.5,176.25,186.66666666666666,192.0,198.75,208.75,222.5,248.75,277.0,301.25,323.25,340.0,350.0,356.25,363.75,373.75,386.25,398.75,418.75,423.75,435.75,432.5
Parkdale,167.5,176.25,186.66666666666666,192.0,198.75,208.75,222.5,248.75,277.0,301.25,323.25,340.0,350.0,356.25,363.75,373.75,386.25,398.75,418.75,423.75,435.75,432.5
Mordialloc,167.5,176.25,186.66666666666666,192.0,198.75,208.75,222.5,248.75,277.0,301.25,323.25,340.0,350.0,356.25,363.75,373.75,386.25,398.75,418.75,423.75,435.75,432.5
Murrumbeena,171.25,180.0,193.33333333333334,204.0,210.75,223.75,240.0,256.25,298.75,312.5,342.5,350.0,357.5,362.5,363.75,385.0,393.75,405.0,421.25,431.25,436.25,402.25
Hughesdale,171.25,180.0,193.33333333333334,204.0,210.75,223.75,240.0,256.25,298.75,312.5,342.5,350.0,357.5,362.5,363.75,385.0,393.75,405.0,421.25,431.25,436.25,402.25
Altona,168.75,176.25,181.66666666666666,189.0,197.5,205.0,218.75,243.25,283.75,302.5,321.25,330.0,330.0,339.0,350.0,356.5,371.25,385.0,397.5,400.0,400.0,400.0
Footscray,133.25,143.75,158.33333333333334,164.0,173.75,185.0,202.5,217.5,245.0,270.0,297.5,308.25,321.25,323.75,330.0,330.0,346.25,361.25,371.25,382.5,382.75,362.5
Keilor East,190.0,205.0,218.33333333333334,220.0,220.0,228.75,235.0,257.5,292.5,317.5,335.0,347.5,350.0,363.75,370.0,373.75,386.25,397.5,413.75,420.0,415.0,405.0
Avondale Heights,190.0,205.0,218.33333333333334,220.0,220.0,228.75,235.0,257.5,292.5,317.5,335.0,347.5,350.0,363.75,370.0,373.75,386.25,397.5,413.75,420.0,415.0,405.0
Melton,152.5,158.75,165.0,171.0,176.25,181.25,185.0,193.75,212.75,237.5,252.5,266.25,270.0,270.0,276.5,283.0,296.25,315.0,328.75,340.0,346.25,350.0
Newport,176.25,186.25,200.0,203.0,218.75,223.75,250.0,276.25,305.0,347.5,352.5,367.5,388.75,393.75,410.0,434.0,447.5,461.25,473.75,487.5,497.5,490.0
Spotswood,176.25,186.25,200.0,203.0,218.75,223.75,250.0,276.25,305.0,347.5,352.5,367.5,388.75,393.75,410.0,434.0,447.5,461.25,473.75,487.5,497.5,490.0
St Albans,155.0,160.0,166.66666666666666,170.0,171.25,177.5,180.0,193.75,226.5,261.25,278.75,287.5,290.0,293.75,302.5,310.0,320.0,335.0,348.75,353.75,358.75,350.0
Deer Park,155.0,160.0,166.66666666666666,170.0,171.25,177.5,180.0,193.75,226.5,261.25,278.75,287.5,290.0,293.75,302.5,310.0,320.0,335.0,348.75,353.75,358.75,350.0
Sunshine,140.0,148.75,153.33333333333334,157.4,164.5,168.75,176.25,191.25,225.0,255.0,275.0,280.0,286.0,291.5,300.0,310.0,317.5,333.75,345.0,355.0,360.0,350.0
Sydenham,200.0,207.5,211.66666666666666,210.0,217.5,220.0,223.75,243.75,271.25,298.75,317.5,330.0,330.0,340.0,350.0,358.75,366.25,381.25,395.0,400.0,400.0,400.0
Werribee,163.75,169.5,175.33333333333334,181.0,185.0,190.0,197.5,212.5,245.0,268.75,277.5,286.5,290.0,290.0,298.75,310.0,325.0,341.25,360.0,370.0,368.75,363.75
Hoppers Crossing,163.75,169.5,175.33333333333334,181.0,185.0,190.0,197.5,212.5,245.0,268.75,277.5,286.5,290.0,290.0,298.75,310.0,325.0,341.25,360.0,370.0,368.75,363.75
West Footscray,141.25,148.75,158.33333333333334,163.6,170.0,175.0,182.5,207.5,247.5,292.5,300.0,308.75,320.0,320.0,327.5,335.0,355.0,366.25,380.0,395.0,402.5,396.25
Williamstown,240.0,257.0,262.6666666666667,266.0,270.75,275.0,294.75,320.0,360.0,385.0,383.75,423.75,431.25,450.0,447.25,452.75,478.75,485.0,503.75,518.75,524.5,508.75
Yarraville,178.75,187.5,200.0,208.0,218.75,227.5,237.5,271.25,306.25,325.0,347.5,350.0,368.25,378.75,397.5,411.25,425.0,450.0,463.75,485.0,491.25,478.75
Seddon,178.75,187.5,200.0,208.0,218.75,227.5,237.5,271.25,306.25,325.0,347.5,350.0,368.25,378.75,397.5,411.25,425.0,450.0,463.75,485.0,491.25,478.75
Broadmeadows,165.5,172.0,178.33333333333334,184.0,192.5,197.75,205.0,220.0,255.0,290.0,302.5,313.0,313.0,310.25,320.0,326.75,332.5,346.25,364.75,370.0,370.0,368.5
